order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-44,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-46,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-48,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-50,,150.0,Jan,W5,Cell-5,,-150,,,-150,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163686C01-50,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-58,,100.0,Jan,W5,Cell-5,,-100,,,-100,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163686C01-58,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,UKD,SO24004134,OEM Replenishment order,163686C01-58,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-60,,100.0,Jan,W5,Cell-5,,-100,,,-100,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163686C01-60,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,UKD,SO24004134,OEM Replenishment order,163686C01-60,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-62,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,163686C01-62,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,163686C01-64,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,262442C01,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,263002C01,,850.0,Jan,W5,Cell-5,,-850,,,-850,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,263015C01,,3200.0,Jan,W5,Cell-5,,-3200,,,-3200,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,263280C00,,500.0,Jan,W5,Cell-5,,-500,,,-500,
2024-12-03 00:00:00,W49,TDC,SO24004133,OEM Essential Order,263280C00,,100.0,Jan,W5,Cell-5,,-100,,,-100,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,266317C01,,1500.0,Jan,W5,Cell-5,,-1500,,,-1500,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,266317C01,,450.0,Jan,W5,Cell-5,,-450,,,-450,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,266317C01,,350.0,Jan,W5,Cell-5,,-350,,,-350,
